sample_id,kmer_AAA,kmer_AAC,kmer_AAG,kmer_AAT,kmer_ACA,kmer_ACC,kmer_ACG,kmer_ACT,kmer_AGA,kmer_AGC,kmer_AGG,kmer_AGT,kmer_ATA,kmer_ATC,kmer_ATG,kmer_ATT,kmer_CAA,kmer_CAC,kmer_CAG,kmer_CAT,kmer_CCA,kmer_CCC,kmer_CCG,kmer_CCT,kmer_CGA,kmer_CGC,kmer_CGG,kmer_CGT,kmer_CTA,kmer_CTC,kmer_CTG,kmer_CTT,kmer_GAA,kmer_GAC,kmer_GAG,kmer_GAT,kmer_GCA,kmer_GCC,kmer_GCG,kmer_GCT,kmer_GGA,kmer_GGC,kmer_GGG,kmer_GGT,kmer_GTA,kmer_GTC,kmer_GTG,kmer_GTT,kmer_TAA,kmer_TAC,kmer_TAG,kmer_TAT,kmer_TCA,kmer_TCC,kmer_TCG,kmer_TCT,kmer_TGA,kmer_TGC,kmer_TGG,kmer_TGT,kmer_TTA,kmer_TTC,kmer_TTG,kmer_TTT,class
SRR37278448,0.022316075854764042,0.003728266442864775,0.0032609806061713992,0.026589101779840918,0.006380944513717234,0.0064439987741078675,0.017870261704508183,0.015792648264272624,0.0078030869215199306,0.04550464670795662,0.017647127829559937,0.02103641652373553,0.02387752418668558,0.003335277099034781,0.0066720205762181815,0.022913869346684542,0.00774712015551429,0.02259151055034638,0.02546243456898503,0.0038433771275313963,0.004445325357539652,0.02433918890714258,0.012899484177046587,0.012905349689641065,0.009386530925670758,0.0006498499161964888,0.00452011064311924,0.02109604923511272,0.002035088473925597,0.002952063609528916,0.03162953226936194,0.006737274403831744,0.003754905645898027,0.006034390477926854,0.031754907601068895,0.0025803367488539033,0.04116587816254997,0.010289819865220297,0.019186824885610285,0.012131590819886238,0.005765065691297095,0.02130500812129098,0.004675546726872895,0.021551848442975242,0.04881499537846487,0.007801620543371311,0.020034147059154184,0.01807482145624059,0.021197718120083663,0.013901264848911727,0.03775703775972612,0.023587181313258942,0.006340374718272098,0.014218002529013514,0.003396620584918692,0.003465051565187596,0.02509266287917484,0.0158664559644198,0.028369773644981052,0.03660617530941801,0.002638258685724369,0.0032516935445634763,0.035932374550127405,0.009045109213400546,Class_B
SRR37278450,0.024181790300355527,0.002435514972098269,0.002093798974852008,0.02477930388688352,0.003238580192870512,0.0035394033782247952,0.021445234627946105,0.019215923834962702,0.005858112818482681,0.05620825752030774,0.01394705903464687,0.012117323217437739,0.02428075960573239,0.00235633952779678,0.0028527086593791904,0.026521163661516276,0.0030399890372461735,0.026742593887612198,0.026287987627749254,0.0030621755628471403,0.0024988118245480853,0.029536138478722142,0.016600306478574234,0.016181590186595207,0.013090050104570315,0.00048136059955822713,0.004427081917220333,0.023348490500578047,0.0010499446968222153,0.002284994621942691,0.042424769733228784,0.006057791548891381,0.0023783085384408743,0.0033179731521288734,0.032544370332264975,0.0015815512514179256,0.04900894747775094,0.014731417969128103,0.02208712126567603,0.014392094636407437,0.0024753202092058857,0.02527763065307778,0.0034393464980635733,0.016198338838274366,0.04962038202151876,0.0055457613404141706,0.011893935356729966,0.011240955456199558,0.023128800394137103,0.014870845056483197,0.036527504222509104,0.02646199959324703,0.0028690222811446073,0.01720325793902403,0.0023802661730527247,0.0027339454929269573,0.02322080922089405,0.018635593930027613,0.027137818564249024,0.03217807514489215,0.001902385812804453,0.002013100925852414,0.036704343882446214,0.0041134253494105886,Class_A
SRR37278450_trimmed,0.024181790300355527,0.002435514972098269,0.002093798974852008,0.02477930388688352,0.003238580192870512,0.0035394033782247952,0.021445234627946105,0.019215923834962702,0.005858112818482681,0.05620825752030774,0.01394705903464687,0.012117323217437739,0.02428075960573239,0.00235633952779678,0.0028527086593791904,0.026521163661516276,0.0030399890372461735,0.026742593887612198,0.026287987627749254,0.0030621755628471403,0.0024988118245480853,0.029536138478722142,0.016600306478574234,0.016181590186595207,0.013090050104570315,0.00048136059955822713,0.004427081917220333,0.023348490500578047,0.0010499446968222153,0.002284994621942691,0.042424769733228784,0.006057791548891381,0.0023783085384408743,0.0033179731521288734,0.032544370332264975,0.0015815512514179256,0.04900894747775094,0.014731417969128103,0.02208712126567603,0.014392094636407437,0.0024753202092058857,0.02527763065307778,0.0034393464980635733,0.016198338838274366,0.04962038202151876,0.0055457613404141706,0.011893935356729966,0.011240955456199558,0.023128800394137103,0.014870845056483197,0.036527504222509104,0.02646199959324703,0.0028690222811446073,0.01720325793902403,0.0023802661730527247,0.0027339454929269573,0.02322080922089405,0.018635593930027613,0.027137818564249024,0.03217807514489215,0.001902385812804453,0.002013100925852414,0.036704343882446214,0.0041134253494105886,
SRR37278456,0.028820967836763793,0.002944423220763457,0.0024150176130187375,0.033252630615937584,0.007015942543672667,0.0043868425832989935,0.025503218749184337,0.010522200102137317,0.004751468059151058,0.0565509593762927,0.015027157083976965,0.01812080519218241,0.029805693904954293,0.0026232996997310526,0.006633388989470681,0.02954310028677016,0.007007769449130791,0.029620612860812464,0.03134803593946953,0.003201743874727025,0.0028674379431432085,0.01338884710064744,0.007596495904356865,0.007275108735113433,0.005018543696922672,0.0004703484084743917,0.002876401982318169,0.0279100632676612,0.001456656365931062,0.0020804480332238928,0.01865284728203741,0.004738285648599645,0.002849509864793288,0.006119011329754572,0.02180766177520141,0.0020058355895028993,0.05568645689233108,0.005706665527706395,0.025670899011398303,0.007131420460103039,0.00579762416051114,0.027300508603763894,0.0022499738329150552,0.02110793942313244,0.049518406995325254,0.004761486691170131,0.022668473184208632,0.016126042827542694,0.02801525890386147,0.008624460279155999,0.0434051959262133,0.03001503058451072,0.004368914504949073,0.008101645876686986,0.00250940367256685,0.002567142630782036,0.019785479996614758,0.010365856712997567,0.038100593920324985,0.03073109912566344,0.0022937394359457443,0.0022243999564453155,0.040891310234058974,0.008065789719987145,Class_B
SRR37278459,0.025389549962479607,0.0029537362594135048,0.002069251925341174,0.024638541536231125,0.0026328835990990303,0.004257716303789364,0.022252941199433426,0.0185000010509914,0.006537767075682491,0.05719435143170553,0.015043590619030931,0.012522712674866201,0.025410569790483364,0.002449260387323362,0.001891934661966633,0.027353552606173403,0.002797288682414121,0.027348297649172463,0.027373221159519776,0.0032296965727771007,0.00317549544485313,0.02835049302006583,0.015659321437912384,0.015194633097400777,0.012407854328988535,0.00043330874013456895,0.004453050562595697,0.02385029798609028,0.000896495664360191,0.002542047913797085,0.03974233894832996,0.006173073059817326,0.002407521014573047,0.0028436824456509824,0.031478843993539105,0.0015869970142835736,0.0505480319585465,0.013690964686989236,0.022846451057282335,0.013356749421729517,0.001912353923455996,0.026007532905790033,0.003908336734041221,0.01660791624739617,0.05092879112867168,0.005656735999067921,0.009903341822341014,0.011098619327611737,0.02341623853781272,0.014412695495661057,0.038683239900197855,0.027523813213003828,0.0028331725316491046,0.01627385112376505,0.0022278014851409332,0.0031104841196700848,0.022492717380304842,0.017211185311103966,0.02667281046210891,0.03052244181936821,0.002171198091159391,0.0016060650011155524,0.03785175556102071,0.0034823849337079667,Class_A
SRR37278463,0.02304219281004162,0.0032166626601997576,0.002830745627059206,0.02338568842885222,0.0033642538308893883,0.00475149299810989,0.019267276120985874,0.018447128777273433,0.007756637772970017,0.05114402305839543,0.01766498395056491,0.016412963041521136,0.02379222698284761,0.0028342807449200356,0.003224027489076486,0.024379940327210508,0.004479878109136159,0.02423234915652088,0.025839944003733083,0.003243765230466117,0.003792886871514963,0.028861880588432153,0.015210728375684046,0.0153332791281928,0.012212653836545576,0.0005258487817983851,0.004551169652662886,0.02098887851920983,0.0014317227336359394,0.0026634167149799442,0.03955944182845723,0.006558232818148824,0.0033557106293923837,0.0032490679072573613,0.03392947204193121,0.002360280358413816,0.044406088415654445,0.013376296799068614,0.01974923052267896,0.014214708918395338,0.0028504833684488374,0.022848939700316276,0.004620988230414269,0.019464653534882186,0.05150431048704497,0.00684870166904698,0.012301326376221383,0.014707268673670913,0.020766166093977575,0.014986542984676443,0.03911136563959709,0.0250745909868635,0.004774765857360351,0.01673082905584072,0.0024798851793718804,0.0031229820368877765,0.024509266722285854,0.017749532186069752,0.02498856978558332,0.034142757486201256,0.0021746866707202683,0.0026000791866400827,0.03649950272675424,0.005500348798295602,Class_B
SRR37278465,0.024005624644429492,0.004606633710632429,0.003488361208674516,0.026374049255161038,0.00530097776039722,0.008004509700119502,0.01925088639112704,0.01575503675051977,0.009218259709220028,0.047829030778495304,0.017642121597573748,0.019327226794441505,0.02516903574998206,0.0049053389399500566,0.005302641856382276,0.02517007580997272,0.005998650002132123,0.02573358031291245,0.027731743566968944,0.004836486968568347,0.005750283676362452,0.022715118208018237,0.012536675115420658,0.012114410759212591,0.008647474786345677,0.0009406302555531403,0.005243566448912773,0.0228083075831814,0.0019112142388372961,0.004196018026319758,0.029100046490681583,0.00789363930511512,0.004801124928885898,0.004701487181780645,0.02832124956967518,0.0033348483540530617,0.044887741124908086,0.009108845398202569,0.020479197240096808,0.011379920393808314,0.003905009240933017,0.022499201753957167,0.005276016320621374,0.019223636819371743,0.049984867127135894,0.00758058124792638,0.013115156482225894,0.015934135080911467,0.02245177501838306,0.013062529446698485,0.03996347309312801,0.025693433997272964,0.006232247476034417,0.013935971826854974,0.00430564034933535,0.004909083155916433,0.023487882781078814,0.01510229510038139,0.024776517109506877,0.03111880293255315,0.0032499794588151843,0.003128708463904198,0.037453600323666666,0.007087384800355284,Class_B
SRR37278472,0.02419382708971915,0.0027324070674630717,0.002197553783146775,0.02455141239078808,0.0030906022354468474,0.00396616783618812,0.021413443824955185,0.01771582072026909,0.005101943320595246,0.05446965363218439,0.016343620161874944,0.014323537650947144,0.025070612424290106,0.002332537660298436,0.0027338300902643694,0.027066706836567457,0.003500432802220566,0.0268093429985042,0.026081568480126268,0.0033040556556414927,0.0029539920465222747,0.027278940522932418,0.015179790799385091,0.015086481161414289,0.011379100186090724,0.00043361537645255054,0.004730737658428178,0.0231582730683177,0.0008993504104201048,0.002703946611437119,0.038797090365607086,0.006156809794300021,0.0022853746188840006,0.0028718633019902398,0.030539898916591753,0.0018619236910121474,0.04895340738743991,0.013400605719819821,0.02139270834985056,0.013194267413631664,0.0024014526216755644,0.024974253451745095,0.0028645448990121374,0.019441337511328278,0.052099710801108985,0.006066956068846656,0.012484788902698987,0.013073920342436207,0.022791539763526138,0.013687649747738714,0.040214217786727915,0.027362289001294136,0.0029108947845401176,0.016034824213993357,0.0024646754918475023,0.003326010864575799,0.023028777993399613,0.01746516541826909,0.027300895731866726,0.03292427526465175,0.0020168298873819756,0.0020249614462465333,0.038894872360953396,0.0038879015821167507,Class_A
SRR37278475,0.021357664664172275,0.0026141780518525873,0.002014086627750242,0.021449758540161366,0.002567551502051117,0.0034978928534765827,0.018865720302268844,0.022846622994849054,0.007013946876903461,0.05443920174831529,0.013376667688071473,0.011425307938092821,0.02181414116278114,0.0024437721806168282,0.00265848615442636,0.02431484410310032,0.0024583268771018172,0.023766917741621162,0.023368788831576014,0.0032648889070929932,0.0026332408401692105,0.03581614558921211,0.01995487528879158,0.019517075170628055,0.016315170746554176,0.0003609049517782297,0.004774584460195288,0.0205194171887359,0.0010189575565730104,0.0023724155270532523,0.05183597191948239,0.006382685217850962,0.002471335942101675,0.0033294190215972376,0.0381831514060674,0.001810964890079197,0.04366009657363124,0.018028374445198798,0.019566535378152266,0.017612084365203354,0.002158474368986286,0.02305773049519328,0.004493021924653814,0.01403690993747019,0.0494554418271322,0.005675945221274535,0.008655665119360747,0.010569672108448717,0.020093982122453426,0.0179514792788135,0.03353505112240538,0.024584556797255783,0.0026400673792285416,0.020724986176258405,0.0021396691859171847,0.0026172693148228507,0.026196779238871808,0.021315159798331155,0.023289060007467974,0.03328015072998243,0.002295777965915477,0.0017928037201289005,0.03398354185834107,0.00373463207594924,Class_A
SRR37278479,0.02340987413079115,0.0031720246587550434,0.00246940139563975,0.02474639132692064,0.003399419096635993,0.005286281932311064,0.020291248840032867,0.016918146178342648,0.007766925300160658,0.05124320882678778,0.017958028607753283,0.017766659580817516,0.025975087789582983,0.002811259550566391,0.003714960816616861,0.026267379067038948,0.003702185848196583,0.025679730519706154,0.026305703972299782,0.003431101018318283,0.00361429406546507,0.024959477800170878,0.01410612012967104,0.014300044150290861,0.010357944395161455,0.0005976130227006079,0.004710130856556523,0.02287511395271831,0.0015041247818035394,0.0028523949488796865,0.034267830789922286,0.007067879028203042,0.0030105490579227286,0.0034032515871620767,0.031065146206958577,0.0025756891328964633,0.04674105445611339,0.011765490415707692,0.02128003139576239,0.012133665005580106,0.002586931105106308,0.024199111679795927,0.0043304587951058585,0.01923322595546544,0.05356084359759462,0.006325908862353292,0.011442028215306252,0.01478702594647186,0.022741743282410607,0.013476569685919737,0.042240944080386235,0.02785990663031081,0.003867238440186576,0.015297513684546172,0.00285622743940577,0.003257361447802501,0.023434402070158084,0.01630111520364322,0.025546104350030047,0.032114737612368625,0.002611970043210053,0.0025174352768999957,0.03842914900314366,0.005479183955457262,Class_A
SRR37278483,0.01867782294898248,0.004496756136782169,0.003919193805870181,0.021141874874141608,0.0048860780920305736,0.006407468911153461,0.015142697878574743,0.019847831733533345,0.012841787612324053,0.04333410185993165,0.019432535524898802,0.019579333833362033,0.020496604377099464,0.004028635884744358,0.006661666379685216,0.02158372902724962,0.004827417137754015,0.020981651670669815,0.022599643364745643,0.004451811923057841,0.0037607216756603734,0.026451129004485666,0.014341290015672106,0.016607762507770386,0.01161895478436992,0.000564429281447087,0.005281528803695932,0.017733702615227918,0.002410060499581202,0.0033813224688965613,0.03829655593073922,0.009313374989420599,0.005210026645498136,0.00694855054910739,0.03712771452836301,0.003916567195977201,0.03734805791382968,0.011837255251030944,0.017270835582976065,0.014392362985813388,0.0046814943659217794,0.01996836394306677,0.007346919716209393,0.021031557258636438,0.049090463363169676,0.0070428166597110145,0.0145902342644179,0.01816855247528798,0.01843238084676066,0.013591246968454415,0.03826153446549948,0.022973789351723495,0.004812241169483463,0.016863419204020465,0.0033077773918931143,0.0038196744754805966,0.02922512089701646,0.017425513721118235,0.023378579120786114,0.036228538408332775,0.0038870907960670896,0.0033623525085583706,0.03466161968439823,0.00869787273783223,Class_B
